,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
400,Cypriniformes,Cyprinidae,Puntius ticto ticto,0.91,50,0.91,50
401,Cypriniformes,Cyprinidae,Puntius titteya,1.2,50,1.2,50
402,Cypriniformes,Cyprinidae,Rasbora borapetensis,1.44,NA,1.44,NA
403,Cypriniformes,Cyprinidae,Rhinichthys atratulus,1.29,50,1.29,50
404,Cypriniformes,Cyprinidae,Rhodeus amarus,1.06,48,1.06,48
405,Cypriniformes,Cyprinidae,Rhodeus ocellatus ocellatus,1.02,NA,1,NA
406,Cypriniformes,Cyprinidae,Rhodeus sericeus,1.07,48,1.07,48
407,Cypriniformes,Cyprinidae,Richardsonius balteatus,1.27,50,1.27,50
408,Cypriniformes,Cyprinidae,Richardsonius egregius,1.35,50,1.35,50
409,Cypriniformes,Cyprinidae,Rutilus alburnoides,1.22,NA,1.22,NA
410,Cypriniformes,Cyprinidae,Rutilus arcasii,1.42,50,1.42,50
411,Cypriniformes,Cyprinidae,Rutilus lemmingii,1.42,50,1.42,50
412,Cypriniformes,Cyprinidae,Rutilus lusitanicus,1.41,50,1.41,50
413,Cypriniformes,Cyprinidae,Rutilus macrolepidotus,1.41,50,1.41,50
414,Cypriniformes,Cyprinidae,Rutilus rutilus,1.17,NA,1.11,NA
415,Cypriniformes,Cyprinidae,Sarcocheilichthys nigripinnis,1.33,NA,1.25,NA
416,Cypriniformes,Cyprinidae,Sarcocheilichthys variegatus variegatus,1.27,NA,1.21,NA
417,Cypriniformes,Cyprinidae,Scardinius erythrophthalmus,1.26,NA,1.2,NA
418,Cypriniformes,Cyprinidae,Schizothorax grahami,3.25,148,3.25,148
419,Cypriniformes,Cyprinidae,Schizothorax oconnori,1.53,92,1.53,92
420,Cypriniformes,Cyprinidae,Schizothorax sp.,3.5,148,3.5,148
421,Cypriniformes,Cyprinidae,Schizothorax taliensis,3.45,148,3.45,148
422,Cypriniformes,Cyprinidae,Semotilus atromaculatus,1.26,50,1.26,50
423,Cypriniformes,Cyprinidae,Semotilus corporalis,1.23,NA,1.23,NA
424,Cypriniformes,Cyprinidae,Sinocyclocheilus grahami tingi,2.35,96,2.35,96
425,Cypriniformes,Cyprinidae,Sinocyclocheilus maculatus,2.3,96,2.3,96
426,Cypriniformes,Cyprinidae,Squalidus gracilis,1.25,50,1.25,50
427,Cypriniformes,Cyprinidae,Tanakia lanceolata,1.03,NA,1.03,NA
428,Cypriniformes,Cyprinidae,Tinca tinca,0.98,NA,1,NA
429,Cypriniformes,Cyprinidae,Tribolodon hakuensis,0.9,50,0.9,50
430,Cypriniformes,Cyprinidae,Xenocrepis davidi,1.42,48,1.42,48
431,Cypriniformes,Cyprinidae,Xenocrepis microlepis,1.03,48,1.03,48
432,Cypriniformes,Cyprinidae,Zacco platypus,1.08,NA,1.09,NA
433,Cypriniformes,Cyprinidae,Zacco temmincki,1.31,NA,1.31,NA
